代號,名稱,市場別,產業別,市值,市值佔大盤比重,ETF_0050_權重,ETF_0056_權重,ETF_00878_權重,ETF_00919_權重,主要業務,TSMC概念,nVidia概念,Broadcom概念,Google概念,Amazon概念,Meta概念,OpenAI概念,Microsoft概念,AMD概念,Apple概念,Oracle概念,Micron概念,SanDisk概念,Qualcomm概念,Lenovo概念,Dell概念,HPQ概念,HPE概念,Intel概念,ARM概念,相關集團,download_timestamp,process_timestamp
3022,威強電,上市,電腦及週邊設備業,130.68億,,,,,,本公司為全球工業電腦之供應廠商，專門設計、生產、及銷售各種網路通訊與自動化設備產品。主要產品類有單板/嵌入型/液晶顯示電腦、伺服器、網路儲存設備、工業機箱、介面卡、工作站、電源供應器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3026,禾伸堂,上市,電子零組件業,452.88億,,,,,,被動元件系統模組主動元件,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3034,聯詠,上市,半導體業,"2,686.58億",,,2.02,2.1,3.84,研究.開發.設計.生產.製造.銷售下列產品:A語音積體電路及系統B通訊積體電路及系統C內崁式微控制器及系統D數位訊號處理器及系統E電腦週邊控制積體電路及系統F液晶顯示器驅動積體電路及系統,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3045,台灣大,上市,通信網路業,"4,095.59億",,0.17,2.63,2.13,,通訊業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3048,益登,上市,電子通路業,111.17億,,,,,,代理銷售半導體零組件及相關研發業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3231,緯創,上市,電腦及週邊設備業,"4,659.3億",,0.49,2.91,2.0,,3C電子產品其他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3356,奇偶,上市,光電業,44.05億,,,,,,數位監控系統,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
4938,和碩,上市,電腦及週邊設備業,"2,242.29億",,,1.66,,,電信管制射頻器材製造業、電信管制射頻器材輸入業醫療器材製造業除許可業務外，得經營法令非禁止或限制之業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
5203,訊連,上市,資訊服務業,52.05億,,,,,,多媒體影音軟體之開發與銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6214,精誠,上市,資訊服務業,341.67億,,,,,,資訊軟體服務業、電子資訊供應服務業資料處理服務業、電腦及事務性機器設備零售業資訊軟體零售業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
